,job_no,roles,companies,locations,experience,salaries,skills
239,240,data engineer & data scientist,fusion plus solutions inc,hyderabad,2-6 yrs,not disclosed,"deep learning,data science,devops,machine learning,data collection,infrastructure,deployment,budgeting"
240,241,data scientist,microsoft,hyderabad,6-9 yrs,not disclosed,"computer science,training,data science,compliance,machine learning,query,legal,microsoft"
241,242,data scientist,adq services,hyderabad,5-7 yrs,not disclosed,"datascience,artificial intelligence,natural language processing,chatbot,transformers,tensorflow,neural networks,regression"
242,243,data scientist,appincubator,hyderabad,4-5 yrs,not disclosed,"san,data analysis,sas,sms,predictive modeling,pattern recognition,analytics,sql"
243,244,senior data scientist,response informatics,hyderabad,6-11 yrs,not disclosed,"product pricing,data science,machine learning,healthcare,health management,actuarial,sql,python"
244,245,senior data scientist - marketplace,gojek,bengaluru,5-11 yrs,not disclosed,"machine learning,distribution system,financial services,sql,python,recruitment,logistics,technical documentation"
245,246,senior data scientist - marketplace,tokopedia,bengaluru,5-10 yrs,not disclosed,"machine learning,distribution system,financial services,sql,python,recruitment,logistics,technical documentation"
246,247,lead - data scientist,app orchid (ao),hyderabad,8-13 yrs,not disclosed,"data science,nlp,data scientist,big data,data visualization,data analytics,machine learning,statistics"
247,248,data scientist,kasmo cloud solutions,hyderabad,3-8 yrs,not disclosed,"c++,automation,git,simulation,data modeling,simulink,qlikview,matlab"
248,249,nlp engineers,disha consultant,bengaluru,8-12 yrs,not disclosed,"computer science,logistic regression,architecture,diagnostics,gcp,machine learning,deployment,mathematics"
249,250,data scientist,alcon laboratories,bengaluru,2-3 yrs,not disclosed,"analytical skills,data science,project management,data processing,information technology,aws,analytics,sql"
250,251,senior data scientist fmcg,quantium analytics,hyderabad,5-9 yrs,not disclosed,"coding,gcp,analytical,agile,fmcg,continuous improvement,forecasting,analytics"
251,252,data scientist,conneqt digital,bengaluru,5-9 yrs,not disclosed,"solution architecture,deep learning,sas,analytical,artificial intelligence,machine learning,data visualization,sql"
252,253,ml engineer / data scientist,spotflock technologies,"new delhi, hyderabad",5-10 yrs,not disclosed,"computer science,product engineering,linux,artificial intelligence,machine learning,agile,data collection,html"
253,254,data scientist,vistan nextgen,hyderabad,2-7 yrs,not disclosed,"printing,deep learning,pdf,linux,image processing,machine learning,open source,big data"
254,255,data scientist,callaway digital technologies,hyderabad,3-6 yrs,not disclosed,"e-commerce,accounting,data"
255,256,senior data scientist,sanofi,hyderabad,2-7 yrs,not disclosed,"supply chain,data management,business analysis,coding,agile,healthcare,open source,analytics"
256,257,data scientist,response informatics,hyderabad,2-6 yrs,not disclosed,"machine learning,data collection,data visualization,data,collections,machine"
257,258,senior data scientist,microsoft,hyderabad,8-9 yrs,not disclosed,"computer science,data science,scalability,cloud,agile,natural language processing,microsoft,distribution system"
258,259,data & applied scientist ii,microsoft,hyderabad,2-7 yrs,not disclosed,"data analysis,machine learning,strategic planning,microsoft,forecasting,analytics,sql,python"
259,260,data scientist,tech ringers,hyderabad,2-5 yrs,not disclosed,"bpo,computer science,operations research,staffing,pharma,consulting,hadoop,industrial engineering"
260,261,data scientist,tech ringers,hyderabad,8-13 yrs,not disclosed,"bpo,rf,image processing,staffing,pharma,artificial intelligence,consulting,machine learning"
261,262,data scientist,torcai digital media,"dehradun, hyderabad, gurugram",2-5 yrs,not disclosed,"data analysis,bidding,linux,data science,shell scripting,mentor,calculus,analysis"
262,263,data scientist - mortgage finance,finacplus,hyderabad,3-8 yrs,not disclosed,"business process,computer science,back office,data analytics,data visualization,data mining,powerpoint,macros"
263,264,data scientist,response informatics,hyderabad,1-5 yrs,not disclosed,"data analysis,data science,clinical operations,machine learning,healthcare,wellness,health management,sql"
264,265,lead data scientist - machine learning,app orchid (ao),hyderabad,5-7 yrs,not disclosed,"machine learning,data science,nlp,data scientist,cloud,data visualization,aws,python"
265,266,senior engineer - ai/ml/data scientist,global consult inc .,hyderabad,4-10 yrs,not disclosed,"smarty,computer science,orchestration,analytical,machine learning,natural language processing,weaving,training and development"
266,267,senior data scientist,quantium analytics,hyderabad,5-7 yrs,not disclosed,"manager quality assurance,sas,project management,analytical,consulting,advocate,actuarial,stakeholder management"
267,268,lead data scientist,quantium analytics,hyderabad,6-10 yrs,not disclosed,"data analysis,change management,automation,operational excellence,project management,analytical,consulting,business planning"
268,269,data scientist,quantium analytics,hyderabad,2-3 yrs,not disclosed,"c++,sas,coding,analytical,actuarial,perl,continuous improvement,analytics"
269,270,data scientist,zazz,hyderabad,4-5 yrs,not disclosed,"it services,data analysis,sas,predictive modeling,pattern recognition,data mining,analytics,crm"
270,271,requirement of data scientist - mortgage finance,finacplus,hyderabad,3-8 yrs,not disclosed,"business process,computer science,back office,data analytics,data visualization,data mining,powerpoint,macros"
271,272,senior data and applied scientist,microsoft,hyderabad,6-11 yrs,not disclosed,"mining,computer vision,data analysis,linux,machine learning,windows,microsoft,android"
272,273,data scientist,egen solutions,hyderabad,2-7 yrs,not disclosed,"mining,computer science,computer vision,data analysis,gcp,machine learning,natural language processing,monitoring"
273,274,data scientist,iquest solutions,hyderabad,3-5 yrs,not disclosed,"computer vision,version control,gcp,artificial intelligence,machine learning,internship,forecasting,sql"
274,275,associate data scientist,recruitrix technologies llp,hyderabad,2-4 yrs,not disclosed,"deep learning,ms sql,tableau,mysql,machine learning,budgeting,python,data"
275,276,"senior data scientist - nlp, llm, gen ai",osttra,hyderabad,5-10 yrs,not disclosed,"supply chain,market intelligence,machine learning,agile,information retrieval,http,data extraction,data"
276,277,lead data scientist with mlops,response informatics,hyderabad,3-8 yrs,not disclosed,"orchestration,data science,data security,devops,machine learning,infrastructure,model development,deployment"
277,278,data scientist,ideslabs,hyderabad,5-15 yrs,not disclosed,"algorithms,python,modeling,data analysis,data analytics,natural language processing,predictive,machine learning"
278,279,data scientist,ideslabs,hyderabad,5-7 yrs,not disclosed,"c++,payroll,google analytics,coding,machine learning,javascript,data mining,python"
279,280,lead ai data scientist,ford,chennai,3-8 yrs,not disclosed,"produt engineering,simulation,consulting,analytial,pakaging,tehnial leadership,automotive,monitoring"
280,281,data scientist,ericsson,gurugram,8-13 yrs,not disclosed,"talent acquisition,machine learning,workforce planning,business strategy,talent management,analytics,reporting tools,sql"
281,282,data scientist,amnet digital,hyderabad,3-7 yrs,not disclosed,"automation,product engineering,prototype,analytical,artificial intelligence,machine learning,healthcare,data quality"
282,283,associate data scientist,metlife,hyderabad,3-4 yrs,not disclosed,"claims,coding,underwriting,analytical,asset management,analytics,financial services,sql"
283,284,data scientist,veniso solutions,hyderabad,2-7 yrs,not disclosed,"operations research,tableau,data science,analytical,machine learning,hadoop,scala,data analyst"
284,285,associate data scientist,metlife,hyderabad,3-4 yrs,not disclosed,"data management,coding,project management,analytical,machine learning,data structures,asset management,analytics"
