,job_no,roles,companies,locations,experience,salaries,skills
378,379,data scientist,ltimindtree,"hybrid - pune, chennai, bengaluru",5-8 yrs,not disclosed,"data science,pytorch,tensorflow,data engineering,cloud,ai,numpy,ml"
379,380,data scientist,ltimindtree,"hybrid - pune, chennai, bengaluru",5-10 yrs,not disclosed,"data science,machine learning,pytorch,tensorflow,nlp,ai,time series,ml"
380,381,data scientist,peoplefy infosolutions,pune,2-7 yrs,not disclosed,"data science,machine learning,python,statistical modeling,data,statistics,machine,modeling"
381,382,data scientist,tata technologies,hybrid - pune,3-6 yrs,not disclosed,"nlp,computer vision,python,r,computer,natural language processing,vision,data"
382,383,lead data scientist,reflections info systems,"pune, chennai, bengaluru, thiruvananthapuram",10-12 yrs,not disclosed,"computer vision,automation,team management,orchestration,data science,project management,artificial intelligence,machine learning"
383,384,data science engineer,cybage,pune,10-14 yrs,not disclosed,"data science,spark,scala,data processing,airflow,kafka,pyspark,software engineering"
384,385,project associate - data scientist,searchends,pune,2-7 yrs,6-8 lacs pa,"data scientist,mathematical modelling,data science,science,modeling,mathematics,project,data"
385,386,data scientist,fusemachines,pune,3-7 yrs,not disclosed,"advanced analytics,gcp,data modeling,consulting,machine learning,data collection,data mining,big data"
386,387,senior data scientist,oceaneering international,pune,4-9 yrs,not disclosed,"unix,procurement,automation,c++,prototype,linux,aerospace,analytical"
387,388,principal data scientist,oceaneering international,pune,7-12 yrs,not disclosed,"unix,procurement,automation,c++,prototype,linux,aerospace,analytical"
388,389,data science engineer,cybage,pune,10-14 yrs,not disclosed,"data science,scala,data processing,airflow,kafka,strategic planning,pyspark,software engineering"
389,390,data scientist,intellect design arena,pune,3-8 yrs,not disclosed,"computer vision,deep learning,esp,opencv,data structures,transformers,python,vision"
390,391,generative ai engineer/data scientist,quinnox,"hybrid - mumbai, bengaluru",8-13 yrs,not disclosed,"langchain,llms,python,generative ai engineer,azure functions,nemo guardrails,nemo,microsoft azure"
391,392,sr. data scientist,ergode it services,mumbai (all areas),15 may - 17 may,5-9 lacs pa,"data science,r,mysql,hadoop,kafka,spark,python,data"
392,393,senior data scientist,netflix,mumbai,3-8 yrs,not disclosed,"hive,content strategy,basic,spark,analytical,consumer insights,predictive modeling,analytics"
393,394,data scientist,equifax credit information services private limited,bengaluru,3-5 yrs,not disclosed,"computer science,operations research,analytical,machine learning,algorithm development,data structures,healthcare,test cases"
394,395,data scientist,equifax credit information services private limited,bengaluru,4-9 yrs,not disclosed,"stress testing,team management,coding,bfsi,analytical,risk modeling,healthcare,credit risk"
395,396,iam data scientist /analyst,iote technologies,bengaluru,4-6 yrs,not disclosed,"analyst,automation,cyber security,django,splunk,management,sql,python"
396,397,data scientist/ gen ai - us mnc (analytics),us mnc (analytics),hybrid - bengaluru,3-7 yrs,15-25 lacs pa,"python,tensorflow,predictive modeling,algorithm development,generative ai,artificial intelligence,natural language processing,neural networks"
397,398,principal data scientist,itc infotech,bengaluru,7-12 yrs,not disclosed,"data science,data management,analytical,machine learning,analytics,monitoring,principal,data"
398,399,sr. data scientist,itc infotech,bengaluru,5-8 yrs,not disclosed,"artificial intelligence,conceptualization,model development,deployment,research,open source,continuous improvement,monitoring"
399,400,data scientist,venpa staffing,"hybrid - bangalore rural, chennai",2-5 yrs,not disclosed,"statistical modeling,machine learning,python,sql,classification,risk modeling,analytics,data"
